Stadtgebiet,Gesamtbetrag der Einkünfte je Steuerpflichtigen im Jahr,Entfernung
Allermöhe,38369,11.09
Alsterdorf,52426,6.7
Altengamme,47341,22.5
Altenwerder,34544,7.34
Altona-Altstadt,30833,3.66
Altona-Nord,29901,3.9
Bahrenfeld,33565,6.63
Barmbek-Nord,28330,6.25
Barmbek-Süd,32679,4.33
Bergedorf,35049,16.62
Bergstedt,51374,16.04
Billbrook,22625,6.25
Billstedt,23247,8.08
Billwerder,30575,10.55
Blankenese,117139,13.11
Borgfelde,26217,2.22
Bramfeld,30928,9.03
Cranz,31335,14.83
Curslack,41512,18.89
Dulsberg,21239,5.46
Duvenstedt,65694,18.58
Eidelstedt,30938,8.26
Eilbek,32559,3.5
Eimsbüttel,37536,4.15
Eißendorf,32988,11.67
Eppendorf,58438,4.54
Farmsen-Berne,31603,9.94
Finkenwerder,31649,8.48
Francop,35782,9.64
Fuhlsbüttel,39526,9.24
Groß Borstel,42631,6.54
Groß Flottbek,85952,8.22
Gut Moor,32295,11.29
HafenCity,93206,0.88
Hamburg-Altstadt,31336,0.18
Hamm,25745,3.37
Hammerbrook,19468,1.76
Harburg,20773,10.73
Harvestehude,111088,3.09
Hausbruch,31023,11.87
Heimfeld,30132,10.31
Hoheluft-Ost,52006,4.05
Hoheluft-West,42169,4.0
Hohenfelde,39541,1.87
Horn,21685,5.86
Hummelsbüttel,38135,10.27
Iserbrook,39439,11.84
Jenfeld,23975,9.26
Kirchwerder,39284,19.57
Kleiner Grasbrook,13777,2.43
Langenbek,34231,13.17
Langenhorn,30965,12.58
Lemsahl-Mellingstedt,75191,15.62
Lohbrügge,29127,14.63
Lokstedt,41778,6.48
Lurup,26665,9.6
Marienthal,59131,5.66
Marmstorf,36313,12.76
Moorburg,34544,8.89
Moorfleet,34387,7.11
Neuallermöhe,28633,13.11
Neuenfelde,32879,13.26
Neuengamme,40936,19.5
Neugraben-Fischbek,31101,13.49
Neuland,32295,9.45
Neustadt,34521,1.43
Neuwerk,107.16
Niendorf,41651,9.18
Nienstedten,120716,10.36
Ochsenwerder,38634,9.91
Ohlsdorf,39049,8.29
Osdorf,43177,9.66
Othmarschen,108258,7.49
Ottensen,40830,5.38
Poppenbüttel,52157,12.76
Rahlstedt,33419,12.01
Reitbrook,37041,13.53
Rissen,65855,16.62
Rönneburg,38848,12.65
Rothenburgsort,20473,2.91
Rotherbaum,68191,2.19
Sasel,61360,13.7
Schnelsen,37866,11.1
Sinstorf,33328,14.08
Spadenland,35255,8.82
St. Georg,44121,1.16
St. Pauli,27977,2.76
Steilshoop,22730,7.73
Steinwerder,13777,2.86
Stellingen,32600,7.04
Sternschanze,31125,2.78
Sülldorf,43584,13.97
Tatenberg,42598,8.2
Tonndorf,32210,8.74
Uhlenhorst,62479,2.48
Veddel,15831,3.07
Volksdorf,63763,15.41
Waltershof,31649,6.85
Wandsbek,28567,5.72
Wellingsbüttel,88606,11.88
Wilhelmsburg,21890,6.46
Wilstorf,25518,11.72
Winterhude,51627,5.12
Wohldorf-Ohlstedt,94234,18.93